# DEBS 2022 Grand Challenge Data Set Trading Data (c) Infront Financial Technology GmbH
#
# Source: https://doi.org/10.5281/zenodo.6382482
#
# DEBS 2022 Grand Challenge Data Set Trading Data is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License
#
# See http://creativecommons.org/licenses/by-nc-sa/4.0/ for details.
#
# By downloading and using this data you agree to the terms and conditions of the licensing agreement.
#
# Please find more details on https://2022.debs.org/call-for-grand-challenge-solutions/ and in the official DEBS 2022 Grand Challenge paper which is part of the conference proceedings
ID,SecType,Date,Time,Ask,Ask volume,Bid,Bid volume,Ask time,Day's high ask,Close,Currency,Day's high ask time,Day's high,ISIN,Auction price,Day's low ask,Day's low,Day's low ask time,Open,Nominal value,Last,Last volume,Trading time,Total volume,Mid price,Trading date,Profit,Current price,Related indices,Day high bid time, Day low bid time,Open Time, Last trade time, Close Time, Day high Time, Day low Time,Bid time,Auction Time
#'Unique ID','Security Type (E)quity/(I)ndex', 'System date for last received update','System time for last received update','Price of best ask order','Volume of best ask order','Price of best bid order','Volume of best bid order','Time of last ask','Day's high ask','Closing price','Currency (according to ISO 4217)','Day's high ask time','Day's high','ISIN (International Securities Identification Number)','Price at midday's auction','Lowest ask price of the current day','Lowest price of the current day','Time of lowest ask price of the current day','First price of current trading day','Nominal Value','Last trade price','Last trade volume','Time of last update (bid/ask/trade) ','Cumulative volume for current trading day','Mid price (between bid and ask)','Date of last trade','Profit','Current price','Related indices','Days high bid time', 'Days low bid time','Time of open price', 'Time of last trade', 'Time of closing price', 'Time of days high', 'Time of days low',Time of last bid update,Time when last auction price was made
A0HN5C.ETR,E,14-11-2021,01:01:11.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0HN5C.ETR,E,14-11-2021,01:01:11.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFI.FR,E,14-11-2021,01:01:50.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFI.FR,E,14-11-2021,01:01:50.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP.NL,E,14-11-2021,01:02:08.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP.NL,E,14-11-2021,01:02:08.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840400.ETR,E,14-11-2021,03:49:19.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519000.ETR,E,14-11-2021,03:49:19.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543900.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620440.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872087.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851194.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGO.FR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766403.ETR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN.FR,E,14-11-2021,03:49:19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROAC.FR,E,14-11-2021,03:49:19.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUN.FR,E,14-11-2021,03:49:19.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588811.ETR,E,14-11-2021,03:49:19.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0B5Z8.ETR,E,14-11-2021,03:49:19.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIV.FR,E,14-11-2021,03:49:19.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591068.ETR,E,14-11-2021,03:49:19.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC.FR,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDG.NL,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725750.ETR,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725753.ETR,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723610.ETR,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514000.ETR,E,14-11-2021,03:49:19.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896022.ETR,E,14-11-2021,03:49:19.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850001.ETR,E,14-11-2021,03:49:19.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850103.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.FR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850133.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850185.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850222.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850312.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRN.NL,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850354.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850471.ETR,E,14-11-2021,03:49:19.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850517.ETR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850598.ETR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATR.FR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850605.ETR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850628.ETR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850663.ETR,E,14-11-2021,03:49:19.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850667.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF.FR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTE.FR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850727.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML.FR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850775.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850795.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850808.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO.FR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850875.ETR,E,14-11-2021,03:49:19.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850981.ETR,E,14-11-2021,03:49:19.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
